column,description,,,,,,,,,,,,,,,,,,,
WOS_ID,Web of Science ID of associated publication (from Web of Science record).,,,,,,,,,,,,,,,,,,,
Authors,Authors of associated publication (from Web of Science record).,,,,,,,,,,,,,,,,,,,
Title,Title of the associated publication (from Web of Science record).,,,,,,,,,,,,,,,,,,,
Year,Year of associated publication (from Web of Science record).,,,,,,,,,,,,,,,,,,,
Source,"Source (e.g., journal name) of associated publication (from Web of Science record).",,,,,,,,,,,,,,,,,,,
DOI,Digital object identifier of associated publication (from Web of Science record).,,,,,,,,,,,,,,,,,,,
AdditionalPublications,The digital object identifier for additional publications that describe the same experiment. The publication with the earliest publication date is the associated publication. ,,,,,,,,,,,,,,,,,,,
Country,Country where the experiment took place. ,,,,,,,,,,,,,,,,,,,
System,"Experimental system: lab / mesocosm / field. For simplicity, lab is anything indoors (e.g., using artificial light cycles / temperature control), mesocosm is outdoors/semi-outdoors but not exactly in situ - i.e., there is a barrier between the mesocosm and the actual system it is replicating, field is in situ - i.e. the manipulation is made in the system itself. ",,,,,,,,,,,,,,,,,,,
Habitat,"If System was mesocosm or field, the habitat type is recorded as: lotic / lentic / wetland / other.",,,,,,,,,,,,,,,,,,,
DurationDays,"Duration of experiment in days (from application of stressors to final sample, which may be after the end of the stressor application period).",,,,,,,,,,,,,,,,,,,
NumberOfStressors,Number of stressors that are included in at least one multiple-stressor combination. This may be higher than the number of stressors in the treatment with the largest combination of stressors if the experiment wasn’t fully factorial. ,,,,,,,,,,,,,,,,,,,
FullyFactorial,yes or no. Whether or not the experiment has a fully factorial design (every stressor is tested individually and in every possible combination). ,,,,,,,,,,,,,,,,,,,
LargestCombination,"Number of stressors in the largest combination. If FullyFactorial is yes, this will be the same number as NumberOfStressors. ",,,,,,,,,,,,,,,,,,,
SpecificCombination,"The specific combinations of stressors that were combined (separated by a comma and a space). Numbers correspond to the numbered columns containing information about the stressors. For example, “1-2” means that StressorOne and StressorTwo were combined. “1-2, 1-3, 2-3, 1-2-3” would be recorded for a fully factorial study with three stressors. ",,,,,,,,,,,,,,,,,,,
Physiological,"yes or no. Responses to stressors quantified at the sub-individual level (e.g., cells, tissues, organs, gene expression, protein synthesis, immune responses, chlorophyll a fluorescence, accumulation of toxins in body tissue). ",,,,,,,,,,,,,,,,,,,
Individual,"yes or no. Responses to stressors quantified at the individual level (e.g., individual growth, behaviour, feeding rate/functional responses).",,,,,,,,,,,,,,,,,,,
Population,"yes or no. Responses to stressors quantified at the population level (e.g., population growth, survival, mortality, reproduction, population size). ",,,,,,,,,,,,,,,,,,,
Community,"yes or no. Responses to stressors quantified at the community level (diversity, stability, complexity).",,,,,,,,,,,,,,,,,,,
Ecosystem,"yes or no. Responses to stressors quantified at the ecosystem level (energy flux, decomposition, nutrient cycling, total biomass, productivity).",,,,,,,,,,,,,,,,,,,
SingleSpecies,"If the experiment is focused on a single species, the Latin name is recorded here. When there are multiple species studied on their own – but not in the same experimental arena – in the same experiment, they are separated by a semicolon and a space.",,,,,,,,,,,,,,,,,,,
TaxonomicGroup,"If SingleSpecies is filled in, the Class or the Phylum of the species is recorded here. If multiple species from different taxonomic groups are recorded “mixed” is given.",,,,,,,,,,,,,,,,,,,
MultipleTimepoints,yes or no. If responses were measured at multiple timepoints. ,,,,,,,,,,,,,,,,,,,
Recovery,yes or no. If recovery following removal of stressors was measured (not to be confused with adaptation to stressors that are not removed).,,,,,,,,,,,,,,,,,,,
Sequential,yes or no. If stressors were applied sequentially rather than simultaneously. ,,,,,,,,,,,,,,,,,,,
StressorNClass,Class of stressor N (from our Stressor Taxonomy – Supporting Table 2). ,,,,,,,,,,,,,,,,,,,
StressorNIdentity,Identity of stressor N (from our Stressor Taxonomy – Supporting Table 2).,,,,,,,,,,,,,,,,,,,
StressorNNote,Description of how stressor N was applied. One or two sentences (which can be copied directly from the paper).,,,,,,,,,,,,,,,,,,,
StressorNLevels,Number of levels of stressor N (including control/ambient/natural conditions) reported as a number (not the levels themselves). Will always be at least 2. This does not include range finding trials for individual stressors. Only count the levels at which the interactive term can be quantified.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
