category,Relevant by ASReview LAB,Random relevant
1,0,0
2,0,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,2,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,4,0
16,4,0
17,5,0
18,5,0
19,6,0
20,7,0
21,7,0
22,7,0
23,8,0
24,8,0
25,8,0
26,8,0
27,8,0
28,8,0
29,9,0
30,9,0
31,9,0
32,9,0
33,10,0
34,10,0
35,10,0
36,10,0
37,10,0
38,10,0
39,10,0
40,11,0
41,11,0
42,11,0
43,11,0
44,12,0
45,12,0
46,12,0
47,12,0
48,12,0
49,12,0
50,12,0
51,13,1
52,14,1
53,14,1
54,14,1
55,14,1
56,15,1
57,15,1
58,15,1
59,15,1
60,15,1
61,15,1
62,15,1
63,15,1
64,16,1
65,16,1
66,17,1
67,17,1
68,17,1
69,17,1
70,17,1
71,17,1
72,17,1
73,18,1
74,18,1
75,18,1
76,18,1
77,19,1
78,19,1
79,19,1
80,19,1
81,19,1
82,19,1
83,19,1
84,20,1
85,21,1
86,21,1
87,21,1
88,21,1
89,21,1
90,22,1
91,22,1
92,22,1
93,22,1
94,22,1
95,22,1
96,22,1
97,22,1
98,23,1
99,24,1
100,25,1
101,25,1
102,26,1
103,26,1
104,26,1
105,26,1
106,26,1
107,26,1
108,26,1
109,26,1
110,27,1
111,27,1
112,28,1
113,28,1
114,29,1
115,29,1
116,30,1
117,31,1
118,31,1
119,31,1
120,32,1
121,33,1
122,34,1
123,34,1
124,35,1
125,36,1
126,37,1
127,38,1
128,38,1
129,38,1
130,38,1
131,39,1
132,40,1
133,40,1
134,40,1
135,41,1
136,42,1
137,42,1
138,42,1
139,43,1
140,43,1
141,43,1
142,43,1
143,43,1
144,43,1
145,43,1
146,43,1
147,44,1
148,44,1
149,44,1
150,44,1
151,44,1
152,45,2
153,46,2
154,46,2
155,47,2
156,47,2
157,47,2
158,48,2
159,49,2
160,50,2
161,50,2
162,50,2
163,51,2
164,51,2
165,51,2
166,52,2
167,52,2
168,52,2
169,52,2
170,53,2
171,53,2
172,54,2
173,54,2
174,55,2
175,55,2
176,55,2
177,56,2
178,56,2
179,56,2
180,56,2
181,56,2
182,56,2
183,56,2
184,57,2
185,57,2
186,58,2
187,58,2
188,59,2
189,59,2
190,60,2
191,60,2
192,60,2
193,61,2
194,61,2
195,62,2
196,62,2
197,62,2
198,62,2
199,62,2
200,63,2
201,63,2
202,64,2
203,64,2
204,64,2
205,65,2
206,65,2
207,65,2
208,66,2
209,66,2
210,66,2
211,67,2
212,68,2
213,68,2
214,69,2
215,69,2
216,69,2
217,69,2
218,70,2
219,71,2
220,71,2
221,72,2
222,73,2
223,73,2
224,73,2
225,73,2
226,73,2
227,73,2
228,73,2
229,74,2
230,74,2
231,75,2
232,75,2
233,75,2
234,75,2
235,75,2
236,75,2
237,76,2
238,77,2
239,77,2
240,77,2
241,78,2
242,79,2
243,80,2
244,80,2
245,80,2
