"","WOS_ID","Title","Abstract","Included","Training_Included","sim"
"1","WOS:000375166800036","Behavioral swimming effects and acetylcholinesterase activity changes in Jenynsia multidentata exposed to chlorpyrifos and cypermethrin individually and in mixtures","The pesticides cypermethrin (CYP) and chlorpyrifos (CPF) were found together in water bodies located in agricultural and urban areas. However, the impact to non-target biota from exposure to mixtures has received little attention. In the current study, we evaluated changes in swimming behavior and cholinesterase enzymes activity in Jenynsia multidentata, to investigate the possible effects of these insecticides individually and in mixtures. Moreover, differences between technical and commercial mixtures of the pesticides were evaluated. Females off, multidentata were exposed over 96-h to CYP (0.04 and 0.4 mu g L-1), CPF (0.4 and 4 mu g L-1), individually and in a technical and commercial mixtures. Swimming behavior was recorded after 24 h and 96 h of exposure. Also, we measured cholinesterase enzymes activity in brain and muscle after 96 h of exposure. Exposure to CYP increased the exploratory activity of J. multidentata in the upper area of the aquarium. Fish exposed to CPF (4 mu g L-1) showed a decrease in swimming activity and an increase in the time spent at the bottom of the aquarium. Interestingly, fish exposed to the technical and commercial mixture of CYP and CPF displayed a different behavior based on the concentration of exposure. Low concentration of pesticides elicited an increase in J. multidentata swimming activity with preference for the upper area of the aquarium, and high concentrations caused decrease in swimming activity with preference for the bottom area of the aquarium. Based on the response of cholinesterase enzymes, acetylcholinesterase in muscle was more sensitive to exposure to CYP, CPF and their mixtures than in brain. A decrease in swimming behavior correlates significantly with the inhibition of acetylcholinesterase activity in muscle of J. multidentata exposed to high concentrations of pesticides. These results draw attention to the need of more studies on the potential ecotoxicological impact of pesticides and its mixtures at environmental relevant concentrations. (c) 2016 Elsevier Inc. All rights reserved.",1,1,"biased"
"2","WOS:000077057300022","Effects of ultraviolet light and methoprene on survival and development of Rana pipiens","Recently a suite of relatively specific hindlimb deformities have been observed in several anuran species in North America. These deformities include ectopic and supernumerary limbs and missing limbs, limb segments, or digits. The objective of this study was to assess two stressors hypothesized as responsible for limb malformations in amphibians: methoprene, an insect growth regulator that, through interaction with the retinoic acid signaling system, could possibly cause limb deformities, and ultraviolet (UV) light. Northern leopard frogs (Rana pipiens) were exposed to several different concentrations of methoprene both in the absence and presence of UV light designed to mimic the UV wavelength spectrum present in sunlight. Exposures were initiated at early embryonic stages (newly fertilized eggs) and continued through emergence of the forelimbs of the frogs. At the highest methoprene concentration tested, both in the absence and presence of UV light, severe developmental effects were observed, with all organisms dying within 12 to 16 d of test initiation. However, exposure to the pesticide did not cause limb malformations. Irrespective of methoprene treatment, a very high percentage (similar to 50%) of animals held under the UV light for 24 d developed hindlimb malformations. These malformations usually were bilateral and sometimes completely symmetrical, and consisted of missing limb segments and missing or reduced digits. A complete proximal to distal representation of the deficiencies occurred, ranging from missing or malformed femurs to the absence of single digits or digit segments. The developmental period of greatest sensitivity to UV light occurred during very early limb bud development, corresponding with formation of the apical ectodermal ridge. The significance of these findings in terms of deformed frogs in the held is uncertain. Although the deformity types observed (i.e., missing limb segments and digits) were similar to those seen in some field specimens, the UV light treatment did not cause the full range of malformations observed in animals from the field (e.g., supernumerary limbs, nonbilateral deformities). Furthermore, although the artificial light spectrum utilized mimicked the relative UV spectrum present in sunlight, it did not match full sunlight intensity, and did not accurately mimic visible wavelengths. Finally, the relationship of the UV light dose used in the laboratory to that actually experienced by amphibians in the field is uncertain. Despite these questions, our findings suggest that UV light should be further considered as a plausible factor contributing to amphibian malformations in field settings.",1,1,"biased"
"3","WOS:000341826300012","Joint Toxicity of Chlorpyrifos and Endosulfan to Pacific Treefrog (Pseudacris regilla) Tadpoles","Recent ecotoxicology studies have focused on the potential interaction of pesticides and the effects these interactions may have on aquatic ecosystems. We examined the combined effects of two insecticides, endosulfan and chlorpyrifos, that have been previously examined individually on survival, growth, and development of Pacific treefrog (Pseudacris regilla) tadpoles. Historically, both pesticides have been heavily used in the Central Valley of California, been identified in downwind montane areas, and are highly toxic to amphibian larvae. Tadpoles were exposed to chlorpyrifos and endosulfan individually and in combination from Gosner stage 25 through metamorphosis to evaluate the individual effects and the interaction between these insecticides. Chlorpyrifos alone did not affect survival or body size after 30 days, even at concentrations greater than the previously reported LC50. Survival and body size decreased with increasing endosulfan concentrations. The interactive effects of the insecticides depended on concentration and exposure duration. In combination, 137 A mu g/L chlorpyrifos inhibited the negative effects of endosulfan on growth and survival. The presence of both insecticides in combination facilitated the development of axial malformations. In the presence of endosulfan with either 266 or 394 A mu g/L chlorpyrifos, malformations occurred in 33 and 87 % of tadpoles, respectively. Our results indicate that organophosphorus and organochlorine pesticides with different modes of action can result in varying interactions depending on their concentrations and on the end points being assessed. Further examination of contaminant impacts on natural aquatic systems should continue to focus on the effects of multiple contaminants and their potential for unpredictable, nonadditive interactions.",1,1,"biased"
"4","WOS:000587290300171","Environmental disturbance history undermines population responses to cope with anthropogenic and environmental stressors","Since aquatic ecosystems receive runoff of most anthropogenic pollutants, risk assessment tools and protocols have been developed in order to protect them. However, most ecological risk assessments focus on the study of single species exposed to a single chemical, overlooking the environmental reality of multiple chemical exposures and stresses over generations. To advance in realistic predictions of population and community changes, the environmental disturbance history should be considered. The aim of this study was to evaluate how environmental disturbance history (continuous expected sublethal exposure to one chemical for several generations) determines populations' responses to another stressors. The experiments were performed with Daphnia magna as model organisms. To create a disturbance history, dimethoate was used as first stressor at two different concentrations: medium (0.089 mg.L-1) and high (0.89 mg.L-1). The population exposed to medium concentration (vulnerable population) showed no differences from the control population in the selected parameters (body size and reproductive success). Our interest in the vulnerable population was to determine whether, after a first stressor, the detected non-effect hides a population impairment, which might undermine populations' responses to future stressors. After 4 generations under dimethoate exposure, the vulnerable D. magna population was exposed to a second chemical stressor (glyphosate) and an environmental stressor (food scarcity) as compared to control. The vulnerable population showed both less resistance to glyphosate and less resistance to starvation, corroborating the hypothesis that a disturbance history of continuous expected sublethal chemical exposures undermines populations' responses to further chemical and environmental stressors. (C) 2020 Elsevier Ltd. All rights reserved.",1,1,"biased"
"5","WOS:000379931900007","Evolution determines how global warming and pesticide exposure will shape predator-prey interactions with vector mosquitoes","How evolution may mitigate the effects of global warming and pesticide exposure on predator-prey interactions is directly relevant for vector control. Using a space-for-time substitution approach, we addressed how 4 degrees C warming and exposure to the pesticide endosulfan shape the predation on Culex pipiens mosquitoes by damselfly predators from replicated low-and high-latitude populations. Although warming was only lethal for the mosquitoes, it reduced predation rates on these prey. Possibly, under warming escape speeds of the mosquitoes increased more than the attack efficiency of the predators. Endosulfan imposed mortality and induced behavioral changes (including increased filtering and thrashing and a positional shift away from the bottom) in mosquito larvae. Although the pesticide was only lethal for the mosquitoes, it reduced predation rates by the low-latitude predators. This can be explained by the combination of the evolution of a faster life history and associated higher vulnerabilities to the pesticide (in terms of growth rate and lowered foraging activity) in the low-latitude predators and pesticide-induced survival selection in the mosquitoes. Our results suggest that predation rates on mosquitoes at the high latitude will be reduced under warming unless predators evolve toward the current low-latitude phenotype or low-latitude predators move poleward.",1,1,"biased"
"6","WOS:000280068900017","Individual- and population-level toxicity of the insecticide, spirotetramat and the agricultural adjuvant, Destiny to the Cladoceran, Ceriodaphnia dubia","The effects of the tetramic acid insecticide, spirotetramat and the agricultural adjuvant, Destiny, were evaluated on the Cladoceran, Ceriodaphnia dubia. These compounds were evaluated separately and as a mixture because they can be applied together for control of certain crop pests and therefore have the potential to enter surface water as a binary mixture. Acute mortality estimates (48 h) were developed followed by chronic exposure (8 days) studies where several population parameters were recorded. Acute LC50 and 95% CL for spirotetramat and Destiny were estimated to be 23.8 (14.5-35.4) and 26.71 (20.8-34.0) mg/l, respectively. Thus, spirotetramat and Destiny were equitoxic to C. dubia at LC50. For the chronic population study, C. dubia populations were exposed to a range of concentrations for spirotetramat and Destiny singly and as a mixture. Each chemical alone reduced the number of founding individuals, offspring/female, final population size, and population growth rate in a concentration-dependent manner. However, exposure to the mixture caused significantly greater reductions in these parameters than either compound alone. These results indicate that agricultural adjuvants and pesticides may cause more damage to aquatic organisms as a mixture than either product alone. Therefore, future evaluations of pesticide effects should consider the effects of adjuvants as a mixture with pesticides when these products are recommended to be applied together for pest control.",1,1,"biased"
"7","WOS:000563604800001","Life-History Traits Response to Effects of Fish Predation (Kairomones), Fipronil and 2,4-D on Neotropical CladoceranCeriodaphnia silvestrii","Aquatic environments are constantly exposed to a cocktail of contaminants mainly due to human activities. As polluted ecosystems may simultaneously present other multiple natural stressors, the objective of the present study was to evaluate joint effect of stressors (natural and anthropogenic) on life history traits of the Neotropical cladoceran, Ceriodaphnia silvestrii. For this purpose, the effects of water conditioned with predator kairomones (fish) and environmental concentrations (sublethal) of two pesticides widely used in sugarcane monoculture in Brazil, the insecticide Regent(R)800 WG (active ingredient-a.i. fipronil) and the herbicide DMA(R)806 BR (a.i. 2,4-D) were evaluated using chronic toxicity testing, isolated and in mixture, for this cladoceran species. The environmental risks of pesticides for tropical freshwater biota were also estimated from the risk quotient MEC/PNEC. Among the characteristics of the life history of C. silvestrii evaluated after 8 days of exposure, compared with the mean value of control, the age of primiparous females was not affected by any evaluated treatment. However, species average survival decreased in the treatment of kairomones mixed with fipronil (FK) and in the treatment with a mixture of fipronil, 2,4-D, and kairomones (MFKD). The body length of maternal females was shorter than in the control after exposure in treatments with only kairomones (K) and FK. Fecundity of this cladoceran was reduced when exposed to FK and MFKD treatments, and the intrinsic rate of population increase significantly decreased for organisms exposed to treatment with fipronil (F) and to mixtures of fipronil and 2,4-D (MFD), MFDK, and FK. The results indicated that the combination of anthropogenic and natural stressors causes changes inC. silvestriilife history traits, which can contribute to the decline in populations, and our preliminary risk assessment results are a matter of concern regarding biota conservation.",1,1,"biased"
"8","WOS:000462259300014","The effects of bifenthrin and temperature on the endocrinology of juvenile Chinook salmon","The San Francisco Bay delta (USA) is experiencing seasonally warmer waters attributable to climate change and receives rainstorm runoff containing pyrethroid pesticides. Chinook salmon (Oncorhynchus tshawytscha) inhabit the affected waterways from hatch through smoltification, and thus juvenile fish may experience both pyrethroid and warmer water exposures. The effects of higher temperatures and pesticide exposure on presmolt Chinook are unknown. To improve understanding of the potential interaction between temperature and pesticide exposure on salmonid development, juvenile alevin and fry were reared in 11, 16.4, and 19 degrees C freshwater for 11 d and 2 wk, respectively, and exposed to nominal concentrations of 0, 0.15, and 1.5 mu g/L bifenthrin for the final 96 h of rearing. Estradiol-17 beta (E2), testosterone, triiodothyronine, and thyroxine levels were measured in whole-body homogenates using hormone-specific enzyme-linked immunosorbent assays. Brain gonadotropin-releasing hormone receptor (GnRH2), dopamine receptor 2A, and growth hormone 1 (GH1) mRNA levels were measured using quantitative PCR. Results showed significantly decreased survival and condition factors observed with increasing temperature in alevin. Alevin thyroid hormones increased significantly with temperature, but fry thyroid hormones trended toward a decrease at lower temperatures with increasing bifenthrin exposure. There were significant reductions in fry testosterone and E2 at 11 degrees C with increasing bifenthrin treatments and significant changes in GnRH2 and GH1 gene expression in both alevin and fry, indicating potential disruption of hormonal and signaling pathways. Environ Toxicol Chem 2019;38:852-861. (c) 2019 SETAC",1,1,"biased"
"9","WOS:000408783600009","Single and mixture impacts of two pyrethroids on damselfly predatory behavior and physiological biomarkers","Direct mortality due to toxicity of single pesticide exposure along a concentration gradient, while the most common, is only one important parameter for assessing the effects of pesticide contamination on aquatic ecosystems. Sub-lethal toxicity can induce changes in an organism's behavior and physiology that may have population -level ramifications and consequences for ecosystem health. Additionally, the simultaneous detection of multiple contaminants in monitored watersheds stresses the importance of gaining a greater understanding of the toxicities of combined exposures, particularly at low, environmentally relevant concentrations. Using larvae of the Azure Damselfly (Coenagrion paella), we conducted a combined exposure investigation of two widely-used pyrethroid insecticides presumed to share the same neurotoxic mechanism of action, and estimated their effect on predatory ability, mobility and three physiological biomarkers (Glutathione S-transferase; GST, respiratory electron transport system; ETS, and malondialdehyde; MDA). Deltamethrin exposure (0.065 mu g/L and 0.13 mu g/L) was found to reduce the predatory ability, but it did not affect the larvae's mobility. Esfenvalerate exposure (0.069 mu g/L and 0.13 mu g/L), on the other hand, induced no significant changes in predatory ability or mobility. The decrease in predatory ability after the combination exposure (0.067 mu g/L deltamethrin and 0.12 mu g/L. esfenvalerate) did not significantly differ from the impact of the single deltamethrin exposures. Glutathione-S-transferase was induced after single esfenvalerate exposure and the lower deltamethrin concentration exposure, but seemingly inhibited after exposure to the higher concentration of deltamethrin as well as the combination of both pyrethroids. Our data indicate that sub-lethal exposure to deltamethrin reduces predatory ability and suggest that sub-lethal combined exposure to deltamethrin and esfenvalerate inhibits the GST detoxification pathway. These effects can eventually result in a lower emergence of adults from contaminated ponds.",1,1,"biased"
"10","WOS:000641584000005","Single and combined effects of thiacloprid concentration, exposure duration, and water temperature on marbled crayfish Procambarus virginalis","The increasing utilization of chemicals and ongoing climate change have a negative impact on aquatic ecosystems. The present study examined combined effects of water temperature, chemical concentration, and duration of exposure to the neonicotinoid thiacloprid on marbled crayfish Procambarus virginalis. Crayfish were exposed to thiacloprid at the environmental concentration of 4.50 mu g L-1 and 10% 96LC50 to marbled crayfish, 64.64 mu g L-1, at water temperature of 17 and 23 degrees C for 28 days followed by a 28 day depuration period. No crayfish died during the experiment. Both thiacloprid concentrations at 23 degrees C showed a synergistic effect with temperature on the biochemical indicators in haemolymph compared to those at 17 degrees C. Both concentrations of thiacloprid at both temperatures were associated with significant differences from thiacloprid-free controls (P < 0.01) in haemolymph glucose, ammonia, calcium, inorganic phosphate, and lactate; haemolymph enzymes aspartate aminotransferase, alanine aminotransferase, creatine kinase, and alkaline phosphatase; antioxidant biomarkers superoxide dismutase, catalase, glutathione S-transferase, and reduced glutathione in hepatopancreas, muscle, and gill, and showed lipid peroxidation in hepatopancreas and muscle. Histological analyses revealed structural changes and damage to gill and hepatopancreas of exposed crayfish. (C) 2020 Elsevier Ltd. All rights reserved.",1,1,"biased"
