Year,WOS-Biology
1965,21436
1966,24544
1967,26292
1968,27238
1969,28785
1970,29318
1971,34075
1972,38364
1973,39150
1974,41222
1975,41127
1976,44061
1977,47639
1978,50390
1979,51047
1980,59157
1981,60854
1982,66453
1983,66826
1984,66240
1985,67622
1986,73177
1987,74382
1988,71808
1989,66030
1990,73945
1991,83562
1992,85388
1993,87855
1994,93152
1995,97826
1996,95032
1997,97035
1998,100326
1999,101153
2000,98046
2001,101906
2002,103982
2003,106089
2004,116751
2005,120143
2006,121815
2007,128782
2008,135147
2009,131672
2010,140952
2011,147173
2012,151542
2013,147123
2014,151353
2015,157042
2016,159052
2017,168195
2018,165487
2019,183665
2020,192108
2021,200048
