"WOS_ID","Authors","Title","Year","Source","DOI","AdditionalPublications","Country","System","Habitat","DurationDays","NumberOfStressors","FullyFactorial","LargestCombination","SpecificCombinations","Physiological","Individual","Population","Community","Ecosystem","SingleSpecies","TaxonomicGroup","MultipleTimepoints","Recovery","Sequential","StressorOneClass","StressorOneIdentity","StressorOneNote","StressorOneLevels","StressorTwoClass","StressorTwoIdentity","StressorTwoNote","StressorTwoLevels","StressorThreeClass","StressorThreeIdentity","StressorThreeNote","StressorThreeLevels","StressorFourClass","StressorFourIdentity","StressorFourNote","StressorFourLevels","StressorFiveClass","StressorFiveIdentity","StressorFiveNote","StressorFiveLevels","StressorSixClass","StressorSixIdentity","StressorSixNote","StressorSixLevels","StressorSevenClass","StressorSevenIdentity","StressorSevenNote","StressorSevenLevels","StressorEightClass","StressorEightIdentity","StressorEightNote","StressorEightLevels","StressorNineClass","StressorNineIdentity","StressorNineNote","StressorNineLevels","StressorTenClass","StressorTenIdentity","StressorTenNote","StressorTenLevels","StressorElevenClass","StressorElevenIdentity","StressorElevenNote","StressorElevenLevels","StressorTwelveClass","StressorTwelveIdentity","StressorTwelveNote","StressorTwelveLevels","StressorThirteenClass","StressorThirteenIdentity","StressorThirteenNote","StressorThirteenLevels","StressorFourteenClass","StressorFourteenIdentity","StressorFourteenNote","StressorFourteenLevels","StressorFifteenClass","StressorFifteenIdentity","StressorFifteenNote","StressorFifteenLevels","StressorSixteenClass","StressorSixteenIdentity","StressorSixteenNote","StressorSixteenLevels","StressorSeventeenClass","StressorSeventeenIdentity","StressorSeventeenNote","StressorSeventeenLevels","StressorEighteenClass","StressorEighteenIdentity","StressorEighteenNote","StressorEighteenLevels","StressorNineteenClass","StressorNineteenIdentity","StressorNineteenNote","StressorNineteenLevels","StressorTwentyClass","StressorTwentyIdentity","StressorTwentyNote","StressorTwentyLevels","StressorTwentyOneClass","StressorTwentyOneIdentity","StressorTwentyOneNote","StressorTwentyOneLevels","StressorTwentyTwoClass","StressorTwentyTwoIdentity","StressorTwentyTwoNote","StressorTwentyTwoLevels"
"WOS:000071580600008","Oechel, WC; Vourlitis, GL; Hastings, SJ; Ault, RP; Bryant, P","The effects of water table manipulation and elevated temperature on the net CO2 flux of wet sedge tundra ecosystems",1998,"GLOBAL CHANGE BIOLOGY","10.1046/j.1365-2486.1998.00110.x",NA,"usa","field","wetland","125",2,"yes",2,"1-2,","no","no","no","no","yes",NA,NA,"yes","no","no","temperature","warming","Surface temperatures of plots exposed to elevated temperature were increased on average 0.5 °C. Soil surface temperature was elevated using open-top cone-chambers, which were fit over each randomly assigned chamber base. The cones had inwardly inclined sides and an open-top diameter of 1.02 m, and are made of 2 mm thick Lexan Plexiglas which transmits 90% of visible wavelengths and ≈ 5% of infra-red wavelengths.",2,"hydrology","water level","Water table depth of drained plots was maintained on average 7 cm lower than the ambient water table. Drained plots 0.5 m2 in area were enclosed within 1 m2 polypropylene enclosures that were cut into the permafrost to a depth of 50 cm. Battery-operated, float-activated pumps were installed to a maximum depth of 50 cm within each polypropylene enclosure to reduce the water table.",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072082800006","Jak, RG; Maas, JL; Scholten, MCT","Ecotoxicity of 3,4-dichloroaniline in enclosed freshwater plankton communities at different nutrient levels",1998,"ECOTOXICOLOGY","10.1023/A:1008859718361",NA,"the netherlands","mesocosm","lentic","21",2,"yes",2,"1-2,","no","no","yes","yes","yes",NA,NA,"yes","no","no","herbicide","3,4-dichloroaniline","Various concentrations added to mesocosms",5,"nutrients","nutrient enrichment","Phosphate and nitrate added to increase nutrient level",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072087600006","Linton, TK; Morgan, IJ; Reid, SD; Wood, CM","Long-term exposure to small temperature increase and sublethal ammonia in hard water acclimated rainbow trout: does acclimation occur?",1998,"AQUATIC TOXICOLOGY","10.1016/S0166-445X(97)00046-5",NA,"canada","mesocosm","lentic","90",2,"yes",2,"1-2,","no","no","yes","no","no","oncorhynchus mykiss","fish","no","no","yes","temperature","heat wave","Juvenile rainbow trout were chronically exposed for 90 days over summer and winter without food limitation and over summer with food limitation (as an additional stress) to a natural fluctuating water temperature cycle (13.0-21.OC in summer, 3.5-7.OC in winter; characteristic of inshore Lake Ontario), or to +2C superimposed above this cycle, in the presence or absence of an additional 70 uM total ammonia.",2,"nutrients","ammonia","Juvenile rainbow trout were chronically exposed for 90 days over summer and winter without food limitation and over summer with food limitation (as an additional stress) to a natural fluctuating water temperature cycle (13.0-21.OC in summer, 3.5-7.OC in winter; characteristic of inshore Lake Ontario), or to +2C superimposed above this cycle, in the presence or absence of an additional 70 uM total ammonia.",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072307500024","Howe, GE; Gillis, R; Mowbray, RC","Effect of chemical synergy and larval stage on the toxicity of atrazine and alachlor to amphibian larvae",1998,"ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY","10.1002/etc.5620170324",NA,"usa","lab",NA,"4",2,"yes",2,"1-2,","no","yes","no","no","no","rana pipiens; bufo americanus; oncorhynchus mykiss; ictalurus punctatus","mixed","yes","no","no","herbicide","atrazine","Exposure concentrations were determined from range-finding tests that consisted of 96-h static exposures of test organisms to a control and five concentrations of herbicide (0.1, 1, 10, 100, and 1,000 mg/L). In definitive tests, each test series consisted of nine selected exposure concentrations and a control. Acute toxicity tests were performed with atrazine, alachlor, and a 50:50 mixture of the two.",10,"herbicide","alachlor","Exposure concentrations were determined from range-finding tests that consisted of 96-h static exposures of test organisms to a control and five concentrations of herbicide (0.1, 1, 10, 100, and 1,000 mg/L). In definitive tests, each test series consisted of nine selected exposure concentrations and a control. Acute toxicity tests were performed with atrazine, alachlor, and a 50:50 mixture of the two.",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072491100010","Wagner, EJ; Bosakowski, T; Intelmann, S","Combined effects of temperature and high pH on mortality and the stress response of rainbow trout after stocking",1997,"TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY","10.1577/1548-8659(1997)126<0985:CEOTAH>2.3.CO;2",NA,"usa","lab",NA,"4",2,"yes",2,"1-2,","yes","no","no","no","no","oncorhynchus mykiss","fish","yes","yes","no","alkalinity","high pH","High-pH treatments (9.0 +/- 0.05) were created by adding equal amounts of sodium carbonate to each of the appropriate raceways. Control pH was 7.7-7.8.",2,"temperature","warming","High-temperature treatments (21.7 +/- 0.3°C) were created by pumping heated water from a raceway with immersion heaters to each of the appropriate race-ways. Control temperature was 16.3-16.6°C.",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072527700014","Roos, JC; Vincent, WF","Temperature dependence of UV radiation effects on Antarctic cyanobacteria",1998,"JOURNAL OF PHYCOLOGY","10.1046/j.1529-8817.1998.340118.x",NA,"antarctica","lab",NA,"5",2,"yes",2,"1-2,","yes","no","yes","no","no","phormidium murrayi","bacteria","yes","no","no","temperature","warming","5, 10, 15, 20,  and  25 oC in temperature controlled chambers",5,"UV light","UV light","0, 30, 60, 100, 350, and 500 umol·m-2·s-1 irradiance obtained by positioning the petri plateson  a  glass  light  table  overlain with  neutral density filters",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072676300012","Butow, B; Wynne, D; Sukenik, A; Hadas, O; Tel-Or, E","The synergistic effect of carbon concentration and high temperature on lipid peroxidation in Peridinium gatunense",1998,"JOURNAL OF PLANKTON RESEARCH","10.1093/plankt/20.2.355",NA,"israel","lab",NA,"2",2,"yes",2,"1-2,","yes","no","no","no","no","peridinium gatunense","protozoa","no","no","no","carbon dioxide","carbon dioxide range","Cultures were established in carbon-enriched (4 mM NaHCO3) Lindstrom media and carbon-depleted media (<0.1 mM NaHCO3, with an atmosphere stripped of CO2.",2,"temperature","warming","flasks were incubated for each carbon regime at 18 and 25°C",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072885600003","Claska, ME; Gilbert, JJ","The effect of temperature on the response of Daphnia to toxic cyanobacteria",1998,"FRESHWATER BIOLOGY","10.1046/j.1365-2427.1998.00276.x",NA,"usa","lab",NA,NA,2,"yes",2,"1-2,","no","yes","yes","no","no","daphnia pulex","crustacea","no","no","no","temperature","warming","No description of temperature for this particular experiment.",3,"cyanotoxin","anatoxin-a","Pure anatoxin-a was supplied by BFI Corporation (Eden Prairie, Minnesota) in 10mg units and stored at -20oC. A stock solution was made by adding 1.0mL of double-distilled water to the powdered anatoxin. The stock was stored at 4oC and diluted to produce a final concentration of 1.0ugmL-1 anatoxin in experimental treatments.",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000072975900005","Rai, PK; Rai, LC","Interactive effects of UV-B and Cu on photosynthesis, uptake and metabolism of nutrients in a green alga Chlorella vulgaris under simulated ozone column",1997,"JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY","10.2323/jgam.43.281",NA,"india","lab",NA,"0.125",2,"yes",2,"1-2,","no","no","yes","no","no","chlorella vulgaris","algae","no","no","no","UV light","UVB","The UV-B irradiation was provided by a UV-B lamp (CAT No. 3-4408, Fotodyne Inc., U.S.A.) with a maxi- mum output at 310 nm. The desired radiation dose (12.9 mW m~2) was obtained by adjusting the distance between the UV-B source and the alga. This was done in the context of ozone, which itself was also manipulated directly (but never separately to UV-B). Different concentrations of ozone were prepared by an ozone layer simulator (Ozonex System, Standard Appliances, Varanasi, India) and passed through a fl- inch-thick perspex chamber having quartz windows on both lower and upper sides.",5,"metals","copper","For measuring survival against Cu, algal cells were subjected to different concentrations (0-5 mg C') of Cu. The LC5o dose of UV-B and Cu was determined by the plate colony count method (Rai and Raizada, 1985). Ap- proximately 25 (LC25)and 50% (LC50)survival of the test alga was observed after 6 and 15 min of UV-B ex- posure, respectively. However, the LC25and LC50con- centrations for Cu were 0.7 and 2.0 mg I-', respec- tively. The doses of UV-B and Cu selected for further study were: (i) LC25(denoted as UV-B1and Cu,), and (ii) LC50(denoted as UV-B2and Cu2).",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WOS:000073774700003","Vedel, NE; Korsgaard, B; Jensen, FB","Isolated and combined exposure to ammonia and nitrite in rainbow trout (Oncorhynchus mykiss): effects on electrolyte status, blood respiratory properties and brain glutamine/glutamate concentrations",1998,"AQUATIC TOXICOLOGY","10.1016/S0166-445X(97)00071-4",NA,"denmark","lab",NA,"4",2,"yes",2,"1-2,","yes","yes","no","no","no","oncorhynchus mykiss","fish","yes","no","no","nutrients","ammonia","Exposed for up to 4 days to 100, 300 and 500 μM ammonia and 0, 300 and 600 μM nitrite. Each ammonia concentration was combined with each nitrite concentration, giving a total of nine exposure groups.",3,"nutrients","nitrite","Exposed for up to 4 days to 100, 300 and 500 μM ammonia and 0, 300 and 600 μM nitrite. Each ammonia concentration was combined with each nitrite concentration, giving a total of nine exposure groups.",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
