source,target,value
2,0,1
3,0,7
4,0,6
6,0,2
7,0,22
8,0,24
9,0,75
10,0,27
12,0,5
14,0,12
15,0,6
16,0,11
18,0,2
19,0,2
20,0,15
21,0,26
22,0,10
23,0,17
24,0,20
25,0,3
27,0,1
28,0,4
29,0,2
30,0,2
31,0,2
32,0,1
33,0,12
34,0,9
35,0,19
36,0,4
38,0,6
40,0,5
41,0,1
46,0,17
47,0,2
48,0,1
50,0,6
51,0,10
53,0,2
56,0,27
57,0,1
60,0,3
63,0,1
64,0,19
70,0,5
71,0,2
74,0,5
75,0,5
76,0,7
77,0,3
78,0,3
82,0,1
83,0,3
86,0,1
87,0,5
88,0,2
89,0,1
90,0,5
92,0,2
93,0,2
94,0,3
95,0,2
99,0,11
100,0,2
103,0,1
105,0,1
106,0,1
108,0,1
112,0,1
114,0,9
115,0,5
118,0,2
119,0,7
120,0,2
123,0,1
124,0,2
126,0,6
129,0,6
130,0,2
132,0,2
134,0,5
137,0,3
139,0,4
140,0,4
143,0,3
145,0,2
146,0,1
147,0,7
149,0,1
151,0,2
153,0,1
154,0,1
156,0,2
157,0,4
158,0,1
163,0,2
167,0,1
168,0,2
169,0,3
178,0,1
182,0,1
184,0,2
187,0,3
195,0,1
196,0,1
3,1,1
4,1,1
8,1,3
9,1,3
22,1,1
23,1,1
24,1,5
27,1,2
34,1,1
46,1,2
67,1,2
75,1,1
77,1,2
83,1,1
0,2,1
5,2,1
6,2,8
8,2,3
9,2,7
17,2,1
18,2,2
21,2,1
22,2,2
24,2,30
25,2,1
27,2,1
29,2,1
30,2,1
31,2,1
33,2,2
35,2,1
36,2,4
37,2,1
41,2,1
52,2,4
56,2,2
59,2,4
60,2,2
63,2,2
64,2,5
71,2,5
72,2,2
73,2,1
83,2,9
94,2,1
95,2,2
97,2,3
112,2,3
117,2,1
129,2,3
136,2,1
137,2,3
142,2,1
156,2,1
159,2,6
161,2,4
174,2,2
177,2,1
180,2,3
186,2,2
187,2,2
192,2,4
195,2,3
197,2,2
198,2,1
199,2,12
205,2,2
211,2,3
0,3,7
1,3,1
5,3,2
6,3,2
8,3,4
10,3,1
12,3,1
14,3,7
16,3,2
20,3,1
21,3,3
24,3,1
25,3,2
33,3,1
36,3,2
45,3,1
46,3,1
51,3,2
53,3,1
54,3,3
63,3,2
66,3,1
70,3,1
71,3,2
80,3,2
81,3,1
88,3,3
90,3,1
94,3,3
95,3,2
104,3,3
112,3,1
116,3,1
122,3,1
155,3,1
0,4,6
1,4,1
8,4,4
9,4,1
15,4,1
22,4,1
26,4,1
31,4,1
33,4,1
46,4,2
53,4,1
93,4,4
123,4,1
154,4,1
2,5,1
3,5,2
6,5,1
8,5,6
9,5,4
10,5,8
12,5,1
14,5,1
15,5,4
20,5,1
21,5,5
23,5,4
24,5,5
28,5,1
33,5,1
35,5,1
40,5,3
43,5,1
44,5,1
46,5,9
55,5,1
56,5,2
63,5,1
64,5,6
69,5,1
70,5,1
71,5,1
77,5,1
78,5,2
83,5,1
86,5,1
90,5,2
108,5,2
114,5,1
126,5,1
137,5,2
145,5,2
147,5,1
153,5,1
155,5,2
156,5,1
164,5,3
202,5,1
0,6,2
2,6,8
3,6,2
5,6,1
8,6,1
9,6,1
15,6,1
17,6,2
22,6,3
24,6,3
35,6,3
36,6,5
46,6,2
52,6,3
56,6,1
63,6,4
71,6,12
72,6,6
77,6,2
93,6,1
112,6,4
128,6,2
161,6,1
162,6,1
0,7,22
8,7,1
9,7,10
10,7,2
16,7,2
20,7,2
21,7,2
23,7,4
28,7,4
33,7,2
40,7,1
51,7,2
56,7,3
64,7,4
96,7,4
151,7,1
157,7,4
200,7,1
0,8,24
1,8,3
2,8,3
3,8,4
4,8,4
5,8,6
6,8,1
7,8,1
10,8,104
11,8,22
14,8,94
15,8,4
18,8,1
20,8,13
21,8,5
23,8,3
24,8,2
26,8,16
29,8,2
31,8,1
32,8,29
34,8,50
35,8,4
36,8,2
39,8,2
40,8,1
43,8,1
44,8,1
46,8,11
48,8,1
50,8,1
51,8,14
56,8,1
59,8,9
60,8,1
61,8,1
63,8,1
64,8,1
65,8,2
67,8,4
68,8,1
70,8,15
78,8,4
80,8,10
81,8,17
83,8,1
84,8,23
89,8,2
90,8,2
91,8,1
93,8,3
98,8,16
103,8,1
112,8,4
116,8,4
117,8,1
118,8,10
119,8,2
122,8,1
124,8,2
125,8,1
126,8,46
127,8,2
128,8,1
132,8,2
138,8,2
139,8,1
144,8,2
145,8,5
147,8,9
155,8,1
157,8,1
158,8,1
160,8,1
161,8,1
163,8,1
166,8,2
177,8,10
183,8,8
185,8,2
187,8,2
206,8,1
0,9,75
1,9,3
2,9,7
4,9,1
5,9,4
6,9,1
7,9,10
12,9,2
16,9,30
19,9,6
21,9,2
23,9,23
24,9,6
25,9,1
28,9,26
32,9,1
35,9,2
36,9,9
37,9,4
38,9,37
40,9,3
41,9,1
46,9,3
47,9,1
50,9,4
51,9,7
56,9,1
57,9,2
64,9,14
68,9,2
71,9,2
74,9,1
75,9,9
83,9,8
86,9,14
90,9,1
95,9,2
96,9,7
99,9,1
105,9,3
108,9,1
109,9,6
116,9,1
118,9,1
122,9,1
124,9,2
126,9,2
129,9,4
136,9,6
140,9,2
147,9,10
164,9,1
171,9,1
182,9,2
184,9,2
187,9,1
195,9,2
203,9,1
0,10,27
3,10,1
5,10,8
7,10,2
8,10,104
11,10,22
12,10,1
14,10,96
15,10,3
16,10,2
18,10,1
20,10,3
21,10,5
23,10,3
26,10,4
29,10,7
32,10,34
34,10,66
35,10,3
40,10,1
42,10,2
45,10,1
46,10,1
48,10,8
49,10,1
55,10,1
56,10,1
60,10,1
62,10,4
65,10,3
66,10,2
67,10,6
70,10,21
71,10,9
72,10,1
76,10,1
78,10,5
80,10,3
81,10,15
84,10,25
89,10,2
90,10,2
91,10,1
93,10,1
98,10,17
103,10,1
111,10,2
114,10,1
118,10,2
121,10,4
124,10,4
125,10,2
126,10,44
127,10,1
132,10,3
144,10,2
156,10,4
157,10,1
159,10,1
161,10,2
163,10,1
165,10,2
166,10,3
169,10,1
170,10,12
177,10,3
183,10,16
191,10,8
206,10,4
8,11,22
10,11,22
14,11,24
20,11,2
32,11,20
34,11,21
70,11,12
81,11,12
84,11,15
98,11,11
103,11,2
126,11,19
183,11,5
0,12,5
3,12,1
5,12,1
9,12,2
10,12,1
19,12,2
20,12,5
21,12,1
26,12,2
28,12,1
35,12,1
45,12,1
51,12,2
56,12,2
67,12,1
69,12,1
74,12,2
92,12,2
100,12,2
154,12,1
202,12,1
28,13,1
41,13,4
46,13,2
74,13,4
108,13,1
112,13,1
114,13,1
148,13,4
210,13,4
213,13,4
0,14,12
3,14,7
5,14,1
8,14,94
10,14,96
11,14,24
15,14,5
20,14,1
21,14,6
26,14,1
29,14,1
32,14,28
34,14,41
35,14,1
43,14,1
51,14,3
59,14,8
70,14,14
78,14,2
81,14,16
84,14,22
89,14,2
98,14,15
114,14,1
118,14,10
121,14,1
125,14,2
126,14,42
144,14,1
147,14,1
161,14,1
166,14,3
177,14,10
183,14,5
0,15,6
4,15,1
5,15,4
6,15,1
8,15,4
10,15,3
14,15,5
21,15,1
33,15,2
36,15,1
38,15,2
41,15,1
55,15,2
56,15,1
60,15,2
64,15,1
65,15,1
70,15,1
71,15,2
73,15,1
79,15,1
84,15,3
89,15,2
98,15,7
100,15,2
103,15,2
114,15,1
126,15,1
155,15,2
0,16,11
3,16,2
7,16,2
9,16,30
10,16,2
20,16,1
21,16,21
23,16,1
28,16,2
33,16,4
35,16,3
38,16,2
40,16,6
45,16,1
50,16,1
51,16,14
56,16,12
60,16,2
86,16,8
108,16,2
134,16,3
143,16,2
147,16,2
200,16,4
2,17,1
6,17,2
36,17,7
46,17,4
71,17,2
91,17,2
172,17,11
0,18,2
2,18,2
8,18,1
10,18,1
25,18,4
29,18,3
31,18,2
72,18,1
83,18,1
101,18,1
112,18,1
132,18,1
169,18,1
0,19,2
9,19,6
12,19,2
21,19,1
22,19,1
38,19,1
86,19,4
92,19,2
109,19,1
136,19,4
0,20,15
3,20,1
5,20,1
7,20,2
8,20,13
10,20,3
11,20,2
12,20,5
14,20,1
16,20,1
21,20,1
22,20,2
23,20,4
26,20,11
31,20,1
33,20,3
34,20,1
35,20,1
36,20,1
44,20,1
46,20,1
50,20,4
51,20,10
56,20,3
64,20,4
78,20,1
81,20,1
89,20,2
96,20,2
97,20,1
98,20,9
111,20,1
116,20,1
147,20,10
162,20,1
177,20,1
187,20,2
209,20,1
0,21,26
2,21,1
3,21,3
5,21,5
7,21,2
8,21,5
9,21,2
10,21,5
12,21,1
14,21,6
15,21,1
16,21,21
19,21,1
20,21,1
23,21,9
32,21,1
33,21,3
35,21,3
36,21,1
38,21,6
41,21,2
45,21,1
50,21,1
51,21,11
56,21,104
62,21,1
64,21,9
78,21,3
81,21,1
84,21,1
90,21,1
103,21,3
109,21,3
118,21,3
126,21,1
129,21,1
165,21,1
183,21,1
200,21,15
202,21,18
0,22,10
1,22,1
2,22,2
4,22,1
6,22,3
19,22,1
20,22,2
35,22,1
41,22,2
48,22,1
90,22,1
124,22,1
129,22,4
139,22,4
171,22,1
187,22,1
0,23,17
1,23,1
5,23,4
7,23,4
8,23,3
9,23,23
10,23,3
