"Source","Target","weight","width"
0,2,1,0.1
0,3,7,0.7
0,4,6,0.6
0,6,2,0.2
0,7,22,2.2
0,8,24,2.4
0,9,75,7.5
0,10,27,2.7
0,12,5,0.5
0,13,12,1.2
0,14,6,0.6
0,15,11,1.1
0,17,2,0.2
0,18,15,1.5
0,19,26,2.6
0,20,10,1
0,21,17,1.7
0,22,20,2
0,23,3,0.3
0,24,4,0.4
0,25,2,0.2
0,26,2,0.2
0,27,1,0.1
0,28,12,1.2
0,29,9,0.9
0,30,19,1.9
0,31,4,0.4
0,32,6,0.6
0,33,5,0.5
0,34,1,0.1
0,37,17,1.7
0,38,10,1
0,40,27,2.7
0,41,3,0.3
0,42,1,0.1
0,43,19,1.9
0,44,5,0.5
0,45,2,0.2
0,46,5,0.5
0,47,7,0.7
0,48,3,0.3
0,51,3,0.3
0,53,2,0.2
0,54,1,0.1
0,55,5,0.5
0,56,2,0.2
0,57,3,0.3
0,59,2,0.2
0,60,1,0.1
0,62,1,0.1
0,63,9,0.9
0,65,6,0.6
0,66,6,0.6
0,67,2,0.2
0,69,2,0.2
0,70,7,0.7
0,71,1,0.1
1,3,1,0.1
1,4,1,0.1
1,8,3,0.3
1,9,3,0.3
1,20,1,0.1
1,21,1,0.1
1,22,5,0.5
1,29,1,0.1
1,37,2,0.2
1,46,1,0.1
1,51,1,0.1
2,5,1,0.1
2,6,8,0.8
2,8,3,0.3
2,9,7,0.7
2,16,1,0.1
2,17,2,0.2
2,19,1,0.1
2,20,2,0.2
2,22,30,3
2,23,1,0.1
2,25,1,0.1
2,26,1,0.1
2,28,2,0.2
2,30,1,0.1
2,31,4,0.4
2,34,1,0.1
2,40,2,0.2
2,41,2,0.2
2,42,2,0.2
2,43,5,0.5
2,45,5,0.5
2,51,9,0.9
2,57,1,0.1
2,62,3,0.3
2,66,3,0.3
3,5,2,0.2
3,6,2,0.2
3,8,4,0.4
3,10,1,0.1
3,12,1,0.1
3,13,7,0.7
3,15,2,0.2
3,18,1,0.1
3,19,3,0.3
3,22,1,0.1
3,23,2,0.2
3,28,1,0.1
3,31,2,0.2
3,37,1,0.1
3,38,2,0.2
3,42,2,0.2
3,44,1,0.1
3,45,2,0.2
3,49,2,0.2
3,50,1,0.1
3,53,3,0.3
3,55,1,0.1
3,57,3,0.3
3,62,1,0.1
3,64,1,0.1
4,8,4,0.4
4,9,1,0.1
4,14,1,0.1
4,20,1,0.1
4,26,1,0.1
4,28,1,0.1
4,37,2,0.2
4,56,4,0.4
4,71,1,0.1
5,6,1,0.1
5,8,6,0.6
5,9,4,0.4
5,10,8,0.8
5,12,1,0.1
5,13,1,0.1
5,14,4,0.4
5,18,1,0.1
5,19,5,0.5
5,21,4,0.4
5,22,5,0.5
5,24,1,0.1
5,28,1,0.1
5,30,1,0.1
5,33,3,0.3
5,36,1,0.1
5,37,9,0.9
5,39,1,0.1
5,40,2,0.2
5,42,1,0.1
5,43,6,0.6
5,44,1,0.1
5,45,1,0.1
5,48,2,0.2
5,51,1,0.1
5,55,2,0.2
5,63,1,0.1
5,65,1,0.1
5,69,2,0.2
5,70,1,0.1
6,8,1,0.1
6,9,1,0.1
6,14,1,0.1
6,16,2,0.2
6,20,3,0.3
6,22,3,0.3
6,30,3,0.3
6,31,5,0.5
6,37,2,0.2
6,40,1,0.1
6,42,4,0.4
6,45,12,1.2
6,56,1,0.1
6,62,4,0.4
7,8,1,0.1
7,9,10,1
7,10,2,0.2
7,15,2,0.2
7,18,2,0.2
7,19,2,0.2
7,21,4,0.4
7,24,4,0.4
7,28,2,0.2
7,33,1,0.1
7,38,2,0.2
7,40,3,0.3
7,43,4,0.4
8,10,104,10.4
8,11,22,2.2
8,13,94,9.4
8,14,4,0.4
8,17,1,0.1
8,18,13,1.3
8,19,5,0.5
8,21,3,0.3
8,22,2,0.2
8,25,2,0.2
8,26,1,0.1
8,27,29,2.9
8,29,50,5
8,30,4,0.4
8,31,2,0.2
8,33,1,0.1
8,36,1,0.1
8,37,11,1.1
8,38,14,1.4
8,40,1,0.1
8,41,1,0.1
8,42,1,0.1
8,43,1,0.1
8,44,15,1.5
8,48,4,0.4
8,49,10,1
8,50,17,1.7
8,51,1,0.1
8,52,23,2.3
8,54,2,0.2
8,55,2,0.2
8,56,3,0.3
8,58,16,1.6
8,60,1,0.1
8,62,4,0.4
8,64,4,0.4
8,65,46,4.6
8,67,2,0.2
8,68,2,0.2
8,69,5,0.5
8,70,9,0.9
9,12,2,0.2
9,15,30,3
9,19,2,0.2
9,21,23,2.3
9,22,6,0.6
9,23,1,0.1
9,24,26,2.6
9,27,1,0.1
9,30,2,0.2
9,31,9,0.9
9,32,37,3.7
9,33,3,0.3
9,34,1,0.1
9,37,3,0.3
9,38,7,0.7
9,40,1,0.1
9,43,14,1.4
9,45,2,0.2
9,46,9,0.9
9,51,8,0.8
9,55,1,0.1
9,64,1,0.1
9,65,2,0.2
9,66,4,0.4
9,70,10,1
10,11,22,2.2
10,12,1,0.1
10,13,96,9.6
10,14,3,0.3
10,15,2,0.2
10,17,1,0.1
10,18,3,0.3
10,19,5,0.5
10,21,3,0.3
10,25,7,0.7
10,27,34,3.4
10,29,66,6.6
10,30,3,0.3
10,33,1,0.1
10,35,2,0.2
10,37,1,0.1
10,39,1,0.1
10,40,1,0.1
10,41,1,0.1
10,44,21,2.1
10,45,9,0.9
10,47,1,0.1
10,48,5,0.5
10,49,3,0.3
10,50,15,1.5
10,52,25,2.5
10,54,2,0.2
10,55,2,0.2
10,56,1,0.1
10,58,17,1.7
10,60,1,0.1
10,61,2,0.2
10,63,1,0.1
10,65,44,4.4
10,67,3,0.3
10,68,2,0.2
11,13,24,2.4
11,18,2,0.2
11,27,20,2
11,29,21,2.1
11,44,12,1.2
11,50,12,1.2
11,52,15,1.5
11,58,11,1.1
11,60,2,0.2
11,65,19,1.9
12,18,5,0.5
12,19,1,0.1
12,24,1,0.1
12,30,1,0.1
12,38,2,0.2
12,40,2,0.2
12,59,2,0.2
12,71,1,0.1
13,14,5,0.5
13,18,1,0.1
13,19,6,0.6
13,25,1,0.1
13,27,28,2.8
13,29,41,4.1
13,30,1,0.1
13,38,3,0.3
13,44,14,1.4
13,48,2,0.2
13,50,16,1.6
13,52,22,2.2
13,54,2,0.2
13,58,15,1.5
13,63,1,0.1
13,65,42,4.2
13,68,1,0.1
13,70,1,0.1
14,19,1,0.1
14,28,2,0.2
14,31,1,0.1
14,32,2,0.2
14,34,1,0.1
14,39,2,0.2
14,40,1,0.1
14,41,2,0.2
14,43,1,0.1
14,44,1,0.1
14,45,2,0.2
14,52,3,0.3
14,54,2,0.2
14,58,7,0.7
14,59,2,0.2
14,60,2,0.2
14,63,1,0.1
14,65,1,0.1
15,18,1,0.1
15,19,21,2.1
15,21,1,0.1
15,24,2,0.2
15,28,4,0.4
15,30,3,0.3
15,32,2,0.2
15,33,6,0.6
15,38,14,1.4
15,40,12,1.2
15,41,2,0.2
15,70,2,0.2
16,31,7,0.7
16,37,4,0.4
16,45,2,0.2
17,23,4,0.4
17,25,3,0.3
17,26,2,0.2
17,51,1,0.1
17,62,1,0.1
17,67,1,0.1
18,19,1,0.1
18,20,2,0.2
18,21,4,0.4
18,26,1,0.1
18,28,3,0.3
18,29,1,0.1
18,30,1,0.1
18,31,1,0.1
18,36,1,0.1
18,37,1,0.1
18,38,10,1
18,40,3,0.3
18,43,4,0.4
18,48,1,0.1
18,50,1,0.1
18,54,2,0.2
18,58,9,0.9
18,61,1,0.1
18,64,1,0.1
18,70,10,1
19,21,9,0.9
19,27,1,0.1
19,28,3,0.3
19,30,3,0.3
19,31,1,0.1
19,32,6,0.6
19,34,2,0.2
19,38,11,1.1
19,40,104,10.4
19,43,9,0.9
19,48,3,0.3
19,50,1,0.1
19,52,1,0.1
19,55,1,0.1
19,60,3,0.3
19,65,1,0.1
19,66,1,0.1
20,30,1,0.1
20,34,2,0.2
20,55,1,0.1
20,66,4,0.4
21,23,1,0.1
21,27,1,0.1
21,28,5,0.5
21,30,1,0.1
21,34,4,0.4
21,35,1,0.1
21,38,2,0.2
21,40,2,0.2
21,41,3,0.3
21,43,2,0.2
21,44,1,0.1
21,49,8,0.8
21,51,2,0.2
21,52,1,0.1
21,63,1,0.1
21,64,1,0.1
21,70,10,1
